National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Malheur,2010.00,1.00,Poles,Juniper,1.05,2.01,20.10,19.14,10.00,1.05,2.01,20.10
Malheur,2010.00,1.00,Poles,Lodgepole pine,10.88,20.92,209.20,19.23,10.00,14.93,28.71,287.10
Malheur,2010.00,1.00,Posts,Juniper,0.00,0.00,0.00,0.00,0.00,0.00,0.68,13.50
Mount Baker/Snoqualmie,2010.00,1.00,Sawtimber,Douglas-fir,4815.03,8457.81,65125.14,13.53,7.70,0.00,0.00,0.00
Mount Baker/Snoqualmie,2010.00,1.00,Sawtimber,Western hemlock,4278.80,7931.04,61069.01,14.27,7.70,0.00,0.00,0.00
Mount Baker/Snoqualmie,2010.00,1.00,Sawtimber,Western red cedar,536.21,988.41,48471.63,90.40,49.04,0.00,0.00,0.00
Mount Baker/Snoqualmie,2010.00,1.00,Poles,Softwood Other,0.31,0.60,11.80,38.06,19.67,0.31,0.60,11.80
Mount Baker/Snoqualmie,2010.00,1.00,Posts,Softwood Other,0.23,0.45,9.00,39.13,20.00,0.23,0.45,9.00
Mount Hood,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,6507.81,11825.55,457634.44
Mount Hood,2010.00,1.00,Sawtimber,Grand fir,0.00,0.00,0.00,0.00,0.00,1374.71,2590.48,104485.65
Mount Hood,2010.00,1.00,Sawtimber,Western hemlock,0.00,0.00,0.00,0.00,0.00,1792.92,3358.91,86980.91
Mount Hood,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,49.89,99.57,1559.95
Mount Hood,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,893.04,1799.91,48069.80
Mount Hood,2010.00,1.00,Poles,Miscellaneous,1.75,3.39,215.83,123.33,63.67,1.25,2.40,152.80
Ochoco,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,326.21,636.84,1937.16
Ochoco,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,405.22,800.71,841.48
Ochoco,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,290.83,562.73,1688.19
Ochoco,2010.00,1.00,Poles,Juniper,0.00,0.00,0.00,0.00,0.00,0.16,0.30,6.00
Ochoco,2010.00,1.00,Poles,Lodgepole pine,1.06,2.04,40.80,38.49,20.00,1.59,3.06,61.20
Ochoco,2010.00,1.00,Posts,Juniper,0.52,1.00,20.00,38.46,20.00,0.39,0.75,15.00
Olympic,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,1161.99,2173.70,54021.34
Olympic,2010.00,1.00,Sawtimber,Western hemlock,0.00,0.00,0.00,0.00,0.00,3505.94,6640.81,77630.14
Rogue River-Siskiyou,2010.00,1.00,Sawtimber,Douglas-fir,7899.46,17606.25,228567.04,28.93,12.98,3350.59,5957.43,241081.34
Rogue River-Siskiyou,2010.00,1.00,Poles,Miscellaneous,93.00,1.80,60.00,64.52,33.33,0.93,1.80,60.00
Rogue River-Siskiyou,2010.00,1.00,Poles,Port Orford cedar,0.00,0.00,0.00,0.00,0.00,0.16,0.30,20.00
Rogue River-Siskiyou,2010.00,1.00,Posts,Miscellaneous,0.52,1.00,20.00,38.46,20.00,0.00,0.00,0.00
Rogue River-Siskiyou,2010.00,1.00,Posts,Pacific yew,0.26,0.50,20.00,76.92,40.00,0.00,0.00,0.00
Siuslaw,2010.00,1.00,Sawtimber,Douglas-fir,5092.72,9642.67,177590.16,34.87,18.42,2657.90,5713.75,112309.01
Siuslaw,2010.00,1.00,Sawtimber,Western hemlock,0.00,0.00,0.00,0.00,0.00,1444.84,2691.33,22560.96
Siuslaw,2010.00,1.00,Sawtimber,Red alder,0.00,0.00,0.00,0.00,0.00,12.82,24.38,113.76
Siuslaw,2010.00,1.00,Pulpwood,Softwood Other,0.00,0.00,0.00,0.00,0.00,213.98,438.24,1410.00
Siuslaw,2010.00,1.00,Poles,Red alder,0.44,0.80,20.00,45.45,25.00,0.00,0.00,0.00
Umatilla,2010.00,1.00,Sawtimber,Douglas-fir,426.97,810.36,40303.01,94.39,49.73,1701.21,3284.49,17867.62
Umatilla,2010.00,1.00,Sawtimber,Ponderosa Pine,156.70,299.26,46873.90,299.13,156.63,1734.27,3344.62,84974.53
Umatilla,2010.00,1.00,Sawtimber,White fir,169.89,313.26,20634.12,121.46,65.87,3022.92,5782.97,12586.37
